experiment_name,measurement_id,time_s,power_watts
random_mixed_20260612_021255,1,0.0,116.28
random_mixed_20260612_021255,1,0.1,116.2
random_mixed_20260612_021255,1,0.2,116.29
random_mixed_20260612_021255,1,0.3,116.19
random_mixed_20260612_021255,1,0.4,116.39
random_mixed_20260612_021255,1,0.5,116.29
random_mixed_20260612_021255,1,0.6,116.44
random_mixed_20260612_021255,1,0.7,116.18
random_mixed_20260612_021255,1,0.8,116.39
random_mixed_20260612_021255,1,0.9,116.19
random_mixed_20260612_021255,1,1.0,116.3
random_mixed_20260612_021255,1,1.1,116.19
random_mixed_20260612_021255,1,1.2,116.11
random_mixed_20260612_021255,1,1.3,116.3
random_mixed_20260612_021255,1,1.4,116.3
random_mixed_20260612_021255,1,1.5,116.2
random_mixed_20260612_021255,1,1.6,116.11
random_mixed_20260612_021255,1,1.7,116.09
random_mixed_20260612_021255,1,1.8,116.21
random_mixed_20260612_021255,1,1.9,116.29
random_mixed_20260612_021255,1,2.0,116.29
random_mixed_20260612_021255,1,2.1,116.18
random_mixed_20260612_021255,1,2.2,116.17
random_mixed_20260612_021255,1,2.3,116.19
random_mixed_20260612_021255,1,2.4,116.18
random_mixed_20260612_021255,1,2.5,116.18
random_mixed_20260612_021255,1,2.6,116.18
random_mixed_20260612_021255,1,2.7,116.28
random_mixed_20260612_021255,1,2.8,116.18
random_mixed_20260612_021255,1,2.9,116.29
random_mixed_20260612_021255,1,3.0,116.17
random_mixed_20260612_021255,1,3.1,116.19
random_mixed_20260612_021255,1,3.2,116.18
random_mixed_20260612_021255,1,3.3,116.18
random_mixed_20260612_021255,1,3.4,116.36
random_mixed_20260612_021255,1,3.5,116.29
random_mixed_20260612_021255,1,3.6,116.26
random_mixed_20260612_021255,1,3.7,116.28
random_mixed_20260612_021255,1,3.8,115.98
random_mixed_20260612_021255,1,3.9,116.37
random_mixed_20260612_021255,1,4.0,116.07
random_mixed_20260612_021255,1,4.1,116.37
random_mixed_20260612_021255,1,4.2,116.17
random_mixed_20260612_021255,1,4.3,116.19
random_mixed_20260612_021255,1,4.4,116.19
random_mixed_20260612_021255,1,4.5,116.17
random_mixed_20260612_021255,1,4.6,116.35
random_mixed_20260612_021255,1,4.7,116.28
random_mixed_20260612_021255,1,4.8,116.18
random_mixed_20260612_021255,1,4.9,116.28
random_mixed_20260612_021255,1,5.0,116.19
random_mixed_20260612_021255,1,5.1,116.28
random_mixed_20260612_021255,1,5.2,116.29
random_mixed_20260612_021255,1,5.3,116.19
random_mixed_20260612_021255,1,5.4,116.18
random_mixed_20260612_021255,1,5.5,116.17
random_mixed_20260612_021255,1,5.6,116.19
random_mixed_20260612_021255,1,5.7,116.04
random_mixed_20260612_021255,1,5.8,116.28
random_mixed_20260612_021255,1,5.9,116.19
random_mixed_20260612_021255,1,6.0,116.17
random_mixed_20260612_021255,1,6.1,116.28
random_mixed_20260612_021255,1,6.2,116.18
random_mixed_20260612_021255,1,6.3,116.28
random_mixed_20260612_021255,1,6.4,116.26
random_mixed_20260612_021255,1,6.5,116.19
random_mixed_20260612_021255,1,6.6,116.09
random_mixed_20260612_021255,1,6.7,116.07
random_mixed_20260612_021255,1,6.8,116.18
random_mixed_20260612_021255,1,6.9,116.28
random_mixed_20260612_021255,1,7.0,116.28
random_mixed_20260612_021255,1,7.1,116.28
random_mixed_20260612_021255,1,7.2,116.39
random_mixed_20260612_021255,1,7.3,116.4
random_mixed_20260612_021255,1,7.4,116.21
random_mixed_20260612_021255,1,7.5,116.3
random_mixed_20260612_021255,1,7.6,116.19
random_mixed_20260612_021255,1,7.7,116.29
random_mixed_20260612_021255,1,7.8,116.3
random_mixed_20260612_021255,1,7.9,116.3
random_mixed_20260612_021255,1,8.0,116.3
random_mixed_20260612_021255,1,8.1,116.19
random_mixed_20260612_021255,1,8.2,116.2
random_mixed_20260612_021255,1,8.3,116.07
random_mixed_20260612_021255,1,8.4,116.28
random_mixed_20260612_021255,1,8.5,116.28
